出发城市,到达城市,最低票价,对应持续时间
上海,上海,9999.0,9999.0
上海,北京,293.0,12.1
上海,儋州,9999.0,9999.0
上海,伊春,9999.0,9999.0
上海,呼伦贝尔,9999.0,9999.0
上海,天津,305.0,10.883333333333333
上海,南京,55.0,2.7666666666666666
上海,东莞,862.5,9.766666666666667
上海,厦门,347.0,7.833333333333333
上海,宁波,98.0,1.9166666666666665
上海,哈尔滨,1025.5,12.2
上海,哈密,9999.0,9999.0
上海,南通,41.0,1.4
上海,佛山,9999.0,9999.0
上海,保定,9999.0,9999.0
上海,合肥,182.0,3.216666666666667
上海,南昌,262.0,3.4833333333333334
上海,大连,907.5,10.816666666666666
上海,临沂,9999.0,9999.0
上海,乌鲁木齐,9999.0,9999.0
上海,南阳,568.5,7.65
上海,台州,134.0,2.9166666666666665
上海,嘉兴,12.0,0.23333333333333334
上海,太原,637.0,9.183333333333334
上海,唐山,591.5,6.583333333333333
上海,丽江,9999.0,9999.0
上海,三明,341.5,4.266666666666667
上海,吐鲁番,9999.0,9999.0
上海,乌兰察布,9999.0,9999.0
上海,南宁,777.5,11.516666666666667
上海,三亚,9999.0,9999.0
上海,中山,912.0,9.266666666666667
上海,呼和浩特,9999.0,9999.0
上海,临汾,9999.0,9999.0
上海,周口,361.0,4.133333333333334
上海,上饶,177.0,2.4
上海,吉林市,9999.0,9999.0
上海,咸阳,239.0,15.333333333333334
上海,信阳,404.0,6.516666666666667
上海,兰州,310.0,22.316666666666666
上海,丽水,156.0,2.5833333333333335
上海,四平,882.5,10.7
上海,固原,9999.0,9999.0
上海,保山,9999.0,9999.0
上海,临沧,9999.0,9999.0
上海,中卫,9999.0,9999.0
上海,大同,9999.0,9999.0
上海,六安,214.0,3.6
上海,安康,9999.0,9999.0
上海,九江,226.0,7.3
上海,广州,872.0,8.716666666666667
北京,上海,293.0,12.05
北京,北京,9999.0,9999.0
北京,儋州,9999.0,9999.0
北京,伊春,9999.0,9999.0
北京,呼伦贝尔,9999.0,9999.0
北京,天津,32.0,1.1833333333333333
北京,南京,233.0,9.5
北京,东莞,1067.5,8.083333333333334
北京,厦门,451.0,17.966666666666665
北京,宁波,657.0,6.933333333333334
北京,哈尔滨,550.5,6.0
北京,哈密,9999.0,9999.0
北京,南通,513.0,5.6
北京,佛山,9999.0,9999.0
北京,保定,28.0,1.0666666666666667
北京,合肥,433.5,4.833333333333333
北京,南昌,288.0,12.0
北京,大连,426.0,4.1
