索引,正理想解距离(D+),负理想距离(D-),综合得分指数,排序
上海,0.650281424,0.731261577,0.529307865,1
北京,0.767687511,0.506279058,0.397403724,2
儋州,0.869010723,0.486285872,0.358804024,3
伊春,0.913255155,0.377782038,0.29261902,4
呼伦贝尔,0.951742054,0.241254087,0.202225371,5
天津,0.865478997,0.217498636,0.200833913,6
南京,0.869113729,0.206212038,0.191767038,7
东莞,0.875600423,0.20646217,0.190804276,8
厦门,0.881038944,0.200320014,0.185248397,9
宁波,0.884153767,0.18324569,0.171674895,10
哈尔滨,0.931394561,0.148563795,0.137564374,11
哈密,0.970708455,0.132719451,0.120279223,12
南通,0.924982816,0.125226734,0.11923976,13
佛山,0.930238163,0.118394902,0.112904033,14
保定,0.964080534,0.11721417,0.108401687,15
合肥,0.947988245,0.111468625,0.10521299,16
南昌,0.941967938,0.110372264,0.104882683,17
大连,0.937187465,0.107809987,0.103167703,18
临沂,0.951878233,0.106145221,0.100324072,19
乌鲁木齐,0.954677389,0.104565867,0.098717519,20
南阳,0.9644947,0.097912944,0.09216137,21
台州,0.959262737,0.09523326,0.090311638,22
嘉兴,0.947197644,0.093425504,0.089778422,23
太原,0.955576925,0.091911502,0.087744647,24
唐山,0.966567889,0.089376966,0.084641699,25
丽江,0.971920462,0.087760065,0.082817475,26
三明,0.961171457,0.08588387,0.082024195,27
吐鲁番,0.981094027,0.087613368,0.081980689,28
乌兰察布,0.97796986,0.086073554,0.080892897,29
南宁,0.957496442,0.083413331,0.080135026,30
三亚,0.977608557,0.084142983,0.079249222,31
中山,0.947095654,0.081100263,0.078876274,32
呼和浩特,0.97432377,0.082465372,0.078033894,33
临汾,0.976666969,0.080074962,0.075775324,34
周口,0.973782855,0.079101024,0.075127965,35
上饶,0.972241288,0.078913014,0.075072721,36
吉林市,0.975844033,0.077840772,0.073874817,37
咸阳,0.974827411,0.07649697,0.072762481,38
信阳,0.971038584,0.074580999,0.071327087,39
兰州,0.975470384,0.074493045,0.070948229,40
丽水,0.980005772,0.074120775,0.070314874,41
四平,0.989475543,0.073924737,0.06951732,42
固原,0.988194958,0.07339541,0.069137223,43
保山,0.977502482,0.072137168,0.06872565,44
临沧,0.984538403,0.072096381,0.068232072,45
中卫,0.988031412,0.072272243,0.068161835,46
大同,0.977637322,0.070251537,0.067041019,47
六安,0.983207306,0.070520886,0.06692512,48
安康,0.983644125,0.070249357,0.06665698,49
九江,0.973998622,0.068978967,0.066136576,50
广州,,,0.0 ,
